43436	Alouatta palliata	Mantled Howler Monkey
43441	Alouatta belzebul	Red-handed Howler Monkey
43450	Macaca cyclopis	Formosan Rock Macaque
43455	Macaca nemestrina	Southern Pig-tailed Macaque
43459	Macaca fascicularis	Long-tailed Macaque
43480	Cercopithecus ascanius	Red-tailed Monkey
43485	Cercopithecus nictitans	Putty-nosed Monkey
43486	Cercopithecus mitis	Blue Monkey
43494	Trachypithecus obscurus	Dusky Leaf Monkey
43502	Presbytis rubicunda	Maroon Leaf Monkey
43533	Mandrillus sphinx	Mandrill
43538	Nasalis larvatus	Proboscis Monkey
43540	Lophocebus albigena	grey-mantled grey-cheeked mangabey
43565	Galago senegalensis	Northern Lesser Galago
43567	Otolemur crassicaudatus	Brown Greater Galago
43568	Otolemur garnettii	Small-eared Greater Galago
43577	Pan troglodytes	Chimpanzee
43582	Pongo pygmaeus	Bornean Orangutan
43593	Hylobates lar	Lar Gibbon
43603	Propithecus verreauxi	Verreaux's Sifaka
43613	Eulemur fulvus	Common Brown Lemur
43615	Varecia variegata	Black-and-white Ruffed Lemur
43617	Lemur catta	Ring-tailed Lemur
43658	Callicebus nigrifrons	Black-fronted Titi
43694	Loxodonta africana	African Savanna Elephant
43697	Elephas maximus	Asian Elephant
43712	Dasyprocta punctata	Central American Agouti
437733	Oecanthus longicauda	Oecanthus longicauda
43793	Castor fiber	Eurasian Beaver
43794	Castor canadensis	American Beaver
43997	Myocastor coypus	Coypu
44576	Rattus norvegicus	Brown Rat
450370	Gaeana maculata	Speckled Black Cicada
454573	Okanagana noveboracensis	Aspen Cicada
45763	Ondatra zibethicus	Muskrat
45856	Muscardinus avellanarius	Hazel Dormouse
45863	Eliomys quercinus	European Garden Dormouse
458943	Pseudochorthippus curtipennis	Marsh meadow grasshopper
458944	Roeseliana roeselii	Roesel's Bush-cricket
45936	Funambulus pennantii	Five-striped Palm Squirrel
45938	Funambulus palmarum	Three-striped Palm Squirrel
45941	Callosciurus caniceps	Northern Gray-bellied Squirrel
45945	Callosciurus notatus	Plantain Squirrel
